what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors.lineNumberToggle",1383100396630
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100412091
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100542373
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100546882
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100547041
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100548953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100551384
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100551427
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100571922
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100720415
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100723778
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1383100783806
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1383100783815
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100789426
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1383100792353
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1383100792353
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1383100792376
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100792380
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100792480
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100792484
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100792490
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100792497
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100792500
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100792507
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100792510
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100792514
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1383100792523
